disorder_level,sample_id,sample_original,sample_shuffled
10,0,"born with an innate tendency to pursue certain kinds of prey. Nor can this be thought very improbable; for we often observe great differences in the natural tendencies of our domestic animals; one cat, for instance, taking to catch rats, another mice; one cat, according to Mr. St. John, bringing home winged game, another hares or rabbits, and another hunting on marshy ground and almost nightly catching woodcocks or snipes. The tendency to catch rats rather than mice is known to be inherited. Now, if any slight innate change of habit or of structure benefited an individual wolf, it would","born with an innate tendency to pursue certain kinds of prey. Nor can this be thought very improbable; for tendency domestic observe great differences in the natural tendencies of our often animals; one cat, for instance, taking to catch rats, another mice; one cat, according to Mr. St. John, bringing home we game, nightly hares or another and another hunting on marshy ground and almost inherited. catching woodcocks or snipes. The winged to catch rats rather than mice is known to be rabbits, Now, if any slight innate change of habit or of structure benefited an individual wolf, it would"
20,0,"born with an innate tendency to pursue certain kinds of prey. Nor can this be thought very improbable; for we often observe great differences in the natural tendencies of our domestic animals; one cat, for instance, taking to catch rats, another mice; one cat, according to Mr. St. John, bringing home winged game, another hares or rabbits, and another hunting on marshy ground and almost nightly catching woodcocks or snipes. The tendency to catch rats rather than mice is known to be inherited. Now, if any slight innate change of habit or of structure benefited an individual wolf, it would","an with an innate rather catching pursue certain kinds of prey. Nor can this be according very improbable; for we often observe great differences in the thought tendencies of our domestic animals; one cat, for instance, taking to catch rats, or one known cat, mice; to Mr. tendency John, bringing home winged game, another hares structure rabbits, and another hunting on catch ground and almost nightly marshy woodcocks or snipes. The tendency to St. rats born than mice is it to be inherited. Now, if any slight innate change of habit or of natural benefited another individual wolf, to would"
30,0,"born with an innate tendency to pursue certain kinds of prey. Nor can this be thought very improbable; for we often observe great differences in the natural tendencies of our domestic animals; one cat, for instance, taking to catch rats, another mice; one cat, according to Mr. St. John, bringing home winged game, another hares or rabbits, and another hunting on marshy ground and almost nightly catching woodcocks or snipes. The tendency to catch rats rather than mice is known to be inherited. Now, if any slight innate change of habit or of structure benefited an individual wolf, it would","of with of innate tendency to mice; certain an of kinds Nor can this prey. catch very improbable; for we often observe great would in the natural tendencies if our domestic animals; one cat, for instance, taking to thought or St. rabbits, one cat, structure tendency Mr. catch John, bringing home be game, another hares or catching and another hunting winged marshy another and almost nightly born woodcocks or snipes. The to to ground rats rather than mice on known to be inherited. Now, rats, any slight innate change of habit according differences pursue benefited an individual wolf, it is"
40,0,"born with an innate tendency to pursue certain kinds of prey. Nor can this be thought very improbable; for we often observe great differences in the natural tendencies of our domestic animals; one cat, for instance, taking to catch rats, another mice; one cat, according to Mr. St. John, bringing home winged game, another hares or rabbits, and another hunting on marshy ground and almost nightly catching woodcocks or snipes. The tendency to catch rats rather than mice is known to be inherited. Now, if any slight innate change of habit or of structure benefited an individual wolf, it would","it with an often another to pursue certain woodcocks of prey. Nor game, rabbits, this than tendency an for we John, observe great differences innate bringing natural tendencies very our change animals; one cat, for instance, taking to and rats, another mice; can cat, marshy to Mr. improbable; catch St. home winged ground thought hares or catching and another hunting on nightly one mice almost of domestic born or snipes. The tendency to catch rats rather according wolf, is known to be inherited. be if any slight innate would of habit or kinds structure benefited the individual Now, of in"
50,0,"born with an innate tendency to pursue certain kinds of prey. Nor can this be thought very improbable; for we often observe great differences in the natural tendencies of our domestic animals; one cat, for instance, taking to catch rats, another mice; one cat, according to Mr. St. John, bringing home winged game, another hares or rabbits, and another hunting on marshy ground and almost nightly catching woodcocks or snipes. The tendency to catch rats rather than mice is known to be inherited. Now, if any slight innate change of habit or of structure benefited an individual wolf, it would","natural with for habit tendency to benefited certain mice; Nor prey. rats, can this according thought very improbable; an taking often observe domestic game, St. of winged be woodcocks great the animals; one cat, tendencies instance, mice to catch change another if one cat, marshy to Mr. The John, of home kinds an to another or rabbits, known almost hunting on rather bringing and for nightly another pursue or snipes. ground in to catch rats we than born is innate hares be inherited. Now, differences any slight our innate of tendency or of structure catching and individual wolf, it would"
60,0,"born with an innate tendency to pursue certain kinds of prey. Nor can this be thought very improbable; for we often observe great differences in the natural tendencies of our domestic animals; one cat, for instance, taking to catch rats, another mice; one cat, according to Mr. St. John, bringing home winged game, another hares or rabbits, and another hunting on marshy ground and almost nightly catching woodcocks or snipes. The tendency to catch rats rather than mice is known to be inherited. Now, if any slight innate change of habit or of structure benefited an individual wolf, it would","catch with on in tendency domestic pursue certain kinds winged prey. Nor can this is to rather improbable; for we or observe benefited differences habit one instance, tendency individual structure and mice one marshy bringing born taking to ground hunting another The almost cat, according to Mr. be cat, of home natural game, another hares mice; nightly St. another innate very thought snipes. and our if rats, woodcocks innate catch of great an Now, rats the to catching John, known to be inherited. tendencies rabbits, any slight of for of than or change animals; or an often wolf, it would"
10,1,"replaced by eight new species (a14 to m14); and (I) will have been replaced by six (n14 to z14) new species. But we may go further than this. The original species of our genus were supposed to resemble each other in unequal degrees, as is so generally the case in nature; species (A) being more nearly related to B, C, and D, than to the other species; and species (I) more to G, H, K, L, than to the others. These two species (A) and (I), were also supposed to be very common and widely diffused species, so that they","replaced by eight new species (a14 to m14); and (I) will have been replaced by six (n14 to z14) new species. But to may go further be this. The original the of our genus were supposed to we each other in unequal degrees, as is so generally the case in nature; species (A) being more nearly species to B, C, and D, than to than other resemble and species (I) more very G, H, K, L, than to the others. These two species (A) and (I), were also supposed to species; related common and widely diffused species, so that they"
20,1,"replaced by eight new species (a14 to m14); and (I) will have been replaced by six (n14 to z14) new species. But we may go further than this. The original species of our genus were supposed to resemble each other in unequal degrees, as is so generally the case in nature; species (A) being more nearly related to B, C, and D, than to the other species; and species (I) more to G, H, K, L, than to the others. These two species (A) and (I), were also supposed to be very common and widely diffused species, so that they","replaced by eight new species (a14 to will and (I) D, have been replaced unequal six (n14 to z14) new than But we may go B, than this. The in species of our genus were supposed to resemble each other further m14); degrees, as is so generally that case in nature; species (A) being more nearly K, to also H, and original than to the other species; and species (I) more to G, related species. L, by to the others. These two species (A) and (I), were the supposed to be very common and widely diffused species, so C, they"
30,1,"replaced by eight new species (a14 to m14); and (I) will have been replaced by six (n14 to z14) new species. But we may go further than this. The original species of our genus were supposed to resemble each other in unequal degrees, as is so generally the case in nature; species (A) being more nearly related to B, C, and D, than to the other species; and species (I) more to G, H, K, L, than to the others. These two species (A) and (I), were also supposed to be very common and widely diffused species, so that they","species by eight K, species (a14 to by and (I) (I) have species replaced to six (n14 to z14) is species. But we may go m14); than this. The so H, of our genus were in new resemble each other further unequal degrees, as being species These the case in nature; species (A) replaced more nearly related to B, C, and D, than to were other species; and G, new more to original been the L, than supposed the will others. two to (A) and (I), generally also supposed to be very common and widely diffused species, so that they"
40,1,"replaced by eight new species (a14 to m14); and (I) will have been replaced by six (n14 to z14) new species. But we may go further than this. The original species of our genus were supposed to resemble each other in unequal degrees, as is so generally the case in nature; species (A) being more nearly related to B, C, and D, than to the other species; and species (I) more to G, H, K, L, than to the others. These two species (A) and (I), were also supposed to be very common and widely diffused species, so that they","replaced by eight new species (a14 original supposed have they m14); new so replaced by than (n14 to (I), will species. But and may go were species, this. (I) These species than our we were and to resemble each other in unequal to as is degrees, generally the further in nature; The (A) being G, case related to B, C, genus species z14) to of other species; and to (I) more to L, H, K, and than more the others. D, two species (A) been six that also supposed to be very common and widely diffused species so nearly the"
